Posição,Nome,Idade,Naturalidade,Patrimonio (R$ bi),Origem,Texto
160,Dulce Pugliese de Godoy Bueno e família,77,São Paulo,2.3,"Amil, Dasa","Dulce fundou a rede de assistência de saúde Amil em 1972 com o ex-marido, Edson de Godoy Bueno (1943-2017). Eles se divorciaram, ela saiu da administração diária da companhia, mas manteve uma elevada participação acionária. Os meios-irmãos Pedro e Camilla figuram entre os grandes acionistas da Dasa. No primeiro semestre de 2024, a Dasa iniciou negociações com a Amil para unificar as redes de hospitais, operação concluída no fim do primeiro semestre de 2025."
160,Iuri Rapoport,54,São Paulo,2.3,BTG Pactual,"Advogado pela Faculdade de Direito do Largo São Francisco, Rapoport é diretor estatutário e Chief Sustainability Officer (CSO) do BTG Pactual, onde trabalha desde 1995. Em 2011, atuou como COO do Banco Panamericano, atual Banco Pan."
160,Izabela Henriques Feffer,28,São Paulo,2.3,Grupo Suzano,
160,Marcelo Henrique Limirio Gonçalves,71,Goiás,2.3,MCLG,"Marcelo é presidente do grupo MCLG, holding focada no agronegócio e no ramo imobiliário. O empresário era dono do laboratório Neo Química, que vendeu para a Hypermarcas (atual Hypera Pharma) em 2009 em uma troca de ações, que foram vendidas em 2016. Desde então, passou a investir em outros negócios, como a aquisição do Hotel Nacional, do Rio de Janeiro, e o agronegócio, com a Fazenda Nova Piratininga, que ocupa uma área de mais de 200 mil hectares nos estados de Goiás e Tocantins."
160,Mikhael Henriques Feffer,32,São Paulo,2.3,Grupo Suzano,"Bisnetos do fundador Leon Feffer (1902-1999), os dois filhos de Jorge Feffer receberam as ações do pai na Suzano Holding. Jorge, no entanto, segue como acionista direto da empresa."
160,Olavo Egydio Setubal Junior,72,São Paulo,2.3,Itaúsa,
160,Ricardo Egydio Setubal,63,São Paulo,2.3,Itaúsa,"Alfredo, Olavo Junior e Ricardo são três dos sete filhos do banqueiro Olavo Egydio Setubal (19232008), consolidador do Itaú. Eles são detentores de participações ligeiramente diferentes na Itaúsa, holding no Itaú Unibanco. Por meio dela, também detêm participação na Dexco (exDuratex), maior fabricante de painéis de madeira da América Latina, além de CCR e Alpargatas."
171,Alberto da Silva Geffert,44,Santa Catarina,2.2,WEG,
171,Alexandre Câmara e Silva,52,Rio de Janeiro,2.2,BTG Pactual,"Estreante na lista, Camara e Silva começou no BTG Pactual em 2003. É diretor estatutário e responsável pela Área de Special Situation. É formado em Engenharia Elétrica pela PUC do Rio e possui MBA em Finanças e Direito da Economia e Empresa pela FGV/Rio."
171,Guilherme de Jesus Paulus,76,São Paulo,2.2,"CVC, GJP","Cofundador da operadora CVC em 1972, Guilherme vendeu o controle da companhia (63,6%) ao fundo norte-americano Carlyle por cerca de R$ 700 milhões, em 2009. O empresário e a rede promoveram em 2016 uma oferta secundária na bolsa de valores, desfazendo-se de parte de suas fatias acionárias (44,5%) por R$ 1,25 bilhão. A partir de 2005, passou a atuar no mercado hoteleiro com a GJP Hotéis & Resorts, dona das redes Wish e Prodigy. A empresa foi vendida para um grupo de private equity em 2021."
171,Henrique Moraes Salvador Silva e família,67,Minas Gerais,2.2,Mater Dei,"O médico mastologista Henrique Moraes Salvador Silva é acionista do Mater Dei, grupo hospitalar criado em 1980 em Belo Horizonte (MG) por seu pai, o ginecologista José Salvador da Silva. O grupo Mater Dei abriu seu capital na B3 em 2021. Além de Henrique, são importantes acionistas da companhia seus três irmãos, Renato, Maria Norma e Márcia. As últimas duas são médicas e também atuam na direção da rede hospitalar."
171,José Luiz Egydio Setubal,69,São Paulo,2.2,Itaúsa,
171,Julia da Silva Geffert de Oliveira,42,Santa Catarina,2.2,WEG,"Alberto e Julia são filhos de Tânia Marisa da Silva, herdeira de um dos fundadores de WEG. Ao lado do irmão Henrique (mais adiante na lista), Alberto e Julia receberam as ações de Tânia na companhia."
171,Roberto Egydio Setubal,70,São Paulo,2.2,Itaúsa,"José Luiz e Roberto são dois dos sete filhos do banqueiro Olavo Egydio Setubal (1923-2008), consolidador do Itaú. Eles são detentores de participações ligeiramente diferentes na Itaúsa, holding no Itaú Unibanco. Roberto é co-presidente do Conselho do Itaú Unibanco e foi o responsável pela transformação do Itaú Unibanco em um dos maiores conglomerados financeiros da América Latina."
171,Rogério Pessoa Cavalcanti Albuquerque,56,Rio de Janeiro,2.2,BTG Pactual,"Estreante na lista, Albuquerque trabalha no BTG Pactual desde 1998. É o diretor estatutário responsável pela area de Wealth Management. É economista pela PUC/Rio e tem MBA pela University of Illinois."
179,Denilson Pinheiro Rodrigues,37,Maranhão,2.1,Grupo Mateus,
179,Fernando Simões,59,São Paulo,2.1,JSL,"Fernando é CEO e presidente do conselho de administração da Simpar, holding que controla várias companhias, como JSL, Movida, Vamos, Automob (listadas em bolsa), CS Infra, CS Brasil, BBC e Ciclus Ambiental. A origem do grupo é a JSL, companhia fundada em 1956 pelo pai, Júlio Simões, em Mogi das Cruzes (SP), para transportar produtos hortifrutigranjeiros, e que se tornou uma das maiores operadoras de logística rodoviária da América Latina."
179,Ilson Mateus Rodrigues Junior,41,Maranhão,2.1,Grupo Mateus,"Os irmãos Denilson e Ilson Junior  são filhos de Ilson Mateus e Maria Barros Pinheiro, cofundadores do Grupo Mateus. A empresa de varejo fez seu IPO na bolsa brasileira em 2020, tendo os irmãos como acionistas minoritários. Em junho de 2021,  a mãe, Maria Pinheiro, repassou parte  de suas ações aos filhos, que engrossaram  sua fatia de 3,45% para 11,05% cada um."
179,James Eduardo Bellini,64,Rio Grande do Sul,2.1,Marcopolo,"A família gaúcha Bellini é fundadora e controladora da Marcopolo, fabricante de carrocerias para ônibus fundada em 1949 em Caxias do Sul (RS) com o nome de Nicola & Cia. James atua na companhia desde 1990 e foi indicado para a presidência em 2019. Depois do baque provocado pela pandemia, que praticamente paralisou o transporte de passageiros, as ações da companhia se recuperaram, levando a participação dos Bellini a superar os 10 dígitos."
179,Laércio José de Lucena Cosentino,65,São Paulo,2.1,Totvs,"Uma parceria com o chefe levou Cosentino, então com 23 anos, a fundar a Microsiga em 1983. Rebatizada Totvs, uma das pioneiras no Brasil em desenvolver e implantar softwares de gestão, abriu seu capital na bolsa em 2006 e iniciou um movimento acelerado de aquisições. Atualmente, a empresa atua em 41 países. Cosentino deixou a presidência em 2018, após 35 anos no cargo, mas segue como presidente do conselho de administração e como maior acionista individual, com 8,6% das ações."
179,Marcelo Flora Sales,49,Rio de Janeiro,2.1,BTG Pactual,"Engenheiro civil pela Uerj, Flora é diretor estatutário do BTG Pactual responsável pelas áreas de digital e banking. Foi o principal executivo à frente do BTG Pactual Digital, incursão do banco no mercado de varejo. Flora começou a trabalhar no banco no ano 2000 como responsável pela distribuição do segmento de asset management."
179,Marcelo Rodolfo Hahn,56,São Paulo,2.1,Blau Farmacêutica,"O empresário é fundador, CEO, conselheiro e principal acionista da Blau Farmacêutica, que fez seu IPO na B3 em abril de 2021. Criada em 1987, a empresa é uma das principais indústrias do setor na América Latina. Dedica-se à produção de medicamentos de alta complexidade para o segmento hospitalar. Hahn também é um conhecido patrocinador e piloto de automobilismo."
179,Mariana Botelho Ramalho Cardoso,51,Rio de Janeiro,2.1,BTG Pactual,"Estreante na lista, Mariana Cardoso é diretora estatutária e responsável pela área de compliance do BTG Pactual, onde começou a trabalhar em 1996, na área de fundos de investimentos. Ela é economista pela Universidade Federal do Rio de Janeiro (UFRJ)."
179,Oswaldo de Assis Filho,75,São Paulo,2.1,BTG Pactual,"Estreante na lista, Oswaldo de Assis Filho é diretor estatutário do BTG Pactual responsável por relacionamento institucional e corporate finance. Iniciou sua carreira no BTG em 1998 como responsável pela área de investimentos a longo prazo. Engenheiro elétrico pelo Instituto de Tecnologia da Aeronáutica com mestrado em economia pela USP, Assis trabalha no mercado financeiro desde 1976, tendo sido vicepresidente do Banco de Crédito Nacional (BCN)."
179,Renato Hermann Cohn,53,São Paulo,2.1,BTG Pactual,"Estreante na lista, o engenheiro de produção pela USP é diretor estatutário, Chief Financial Officer (CFO) e diretor de relações com investidores (DRI) do BTG Pactual. Trabalha no banco desde 1999 como Private Banking Officer. Trabalhou na Suíça e em Singapura."
189,Edgard Gomes Corona,68,São Paulo,2.0,Smart Fit,"Fundador da rede de academias Smart Fit, Edgard Corona abriu o capital da companhia em julho de 2021. A empresa foi fundada em 1996 como a rede Bio Ritmo. Em 2009 foi criada a rede Smart Fit, com base em modelos de negócio que começavam a surgir nos EUA. A companhia tem cerca de 1.800 unidades espalhadas no Brasil e em 14 países vizinhos e neste ano inicia suas operações no Marrocos."
189,João Marcello Dantas Leite,55,Rio de Janeiro,2.0,BTG Pactual,"Estreante na lista, Dantas Leite é conselheiro do BTG Pactual. Foi CFO e diretor-executivo por mais de 10 anos. Trabalha no banco desde 1993, tendo começado como responsável pelo departamento tributário. Antes de ingressar no BTG, Dantas leite trabalhou no departamento de consultoria tributária da Arthur Andersen e foi membro do conselho de administração da Anbima. É economista pela Universidade Cândido Mendes."
189,Mitsuo Matsunaga,82,Japão - naturalizado brasileiro,2.0,Yoki,"Genro de Yoshiro Kitano, fundador da antiga Kitano, transformada em Yoki em 1990, Mitsuo atuou como presidente do grupo familiar até a venda para a norte-americana General Mills, em 2012."
192,Alexandre Café Birman,49,Minas Gerais,1.9,Azzas 2154,"Filho de Anderson Birman, fundador da Arezzo, atual Azzas 2154, Alexandre é o CEO da companhia, cujo controle divide com o pai. Aos 18 anos criou sua própria marca, a Schutz, que depois foi incorporada pela Arezzo. O empresário assumiu a presidência depois do IPO da companhia, em 2011."
192,Ana Flávia da Silva Petry,26,Santa Catarina,1.9,WEG,
192,Antônio Carlos Pipponzi,73,São Paulo,1.9,RaiaDrogasil,"Neto de João Baptista Raia (italiano que abriu a primeira Pharmacia Raia em 1905, em Araraquara), Antônio Carlos Pipponzi e sua família são os maiores acionistas da RaiaDrogasil, fundada pela fusão da Raia com a Drogasil, em 2011. A empresa, criada pela união das duas concorrentes, é a maior rede de farmácias do Brasil. Pipponzi deixou a presidência do conselho da RaiaDrogasil no início de 2025. Lançou um livro e dedica parte de seu tempo à mentoria de empreendedores."
192,David Abramo Randon,66,Rio Grande do Sul,1.9,Randon,"Filho mais velho do empresário Raul Randon (1929-2018), David ocupou a presidência da companhia que leva o nome da família de 2009 a 2019, quando passou o bastão ao irmão Daniel. Atualmente, David é presidente do conselho de administração. A família é dona da empresa de maçãs Rasip e da primeira fabricante de queijo grana padano da América Latina, além de ser sócia da vinícola Miolo Wines."
192,Eugênio Pacelli Mattar,76,Minas Gerais,1.9,Localiza,"Eugênio é sócio e presidente da Localiza, maior empresa de locação de veículos da América Latina, fundada ao lado do irmão José Salim e de Antônio e Flávio Resende. Os Mattar são sócios da Omni Táxi Aéreo."
192,Fernando Setubal Souza e Silva,42,São Paulo,1.9,Itaú Unibanco,"Fernando e seus irmãos Tide e Guilherme receberam as ações antes pertencentes à mãe, Maria Alice Setubal, mais conhecida como Neca. Ela é a única mulher entre os sete filhos do banqueiro Olavo Egydio Setúbal (1923-2008). Socióloga e educadora, Neca não atua nos negócios do banco, mas mantém um relevante trabalho na área social."
192,Helena Marina da Silva Petry,23,Santa Catarina,1.9,WEG,
192,Henrique da Silva Geffert,39,Santa Catarina,1.9,WEG,"As irmãs Ana Flávia e Helena são filhas de Marcia da Silva Petry, herdeira direta do empresário Eggon João da Silva, da WEG. Elas passaram a ser titulares de parte das ações da mãe na companhia. Henrique é um dos três herdeiros de Tânia Marisa da Silva e passou a dividir com os irmãos, Alberto e Júlia, a cota acionária da mãe na WEG."
192,Julio Capua Ramos da Silva,47,Rio de Janeiro,1.9,XP Investimentos,"O carioca Julio Capua entrou para a XP Investimentos em 2004, quando ainda era uma modesta assessoria de investimentos que estava expandindo de Porto Alegre para São Paulo. Com a saída de alguns fundadores, Capua tem a segunda maior fatia entre os sócios, atrás apenas de Guilherme Benchimol."
192,Luiz Renato Durski Junior,61,Paraná,1.9,Madero,"Durski Junior é fundador, controlador e CEO da rede Madero, com cerca de 275 restaurantes espalhados pelo país. Em 2024, a empresa faturou R$ 2,05 bilhões, alta de 19,8% ante 2023, e voltou ao azul, lucrando R$ 219 milhões. Em 2021, a companhia, originária do Paraná, protocolou pedido de abertura de capital na B3 em agosto de 2021, mas acabou por cancelar o IPO alegando condições desfavoráveis de mercado. Durski mantém a abertura de capital como meta."
192,Marcia da Silva Petry,61,Santa Catarina,1.9,WEG,"Marcia da Silva Petry é herdeira direta do empresário Eggon João da Silva, um dos fundadores da WEG."
203,Antônio Cláudio Brandão Resende,79,Minas Gerais,1.8,Localiza,"Antônio é sócio-fundador da Localiza, ao lado do irmão Flávio e de Eugênio e José Salim Mattar."
203,Daniel Miguel Klabin,96,Rio de Janeiro,1.8,Klabin,"Engenheiro civil pela UFRJ, Daniel é um dos herdeiros remanescentes dos fundadores da Klabin. A família detém ações da holding Klabin Irmãos, controladora da empresa."
203,David Gary Neeleman,65,São Paulo,1.8,Azul Linhas Aéreas,"Fundador da Azul Linhas Aéreas no Brasil, Neeleman também é sócio da companhia portuguesa TAP. Além da Azul, o empresário já fundou outras companhias aéreas: Morris Air, WestJet, JetBlue e Breeze Airlines, todas na América do Norte. Ele anunciou investimentos na Azul para manter sua participação na companhia, que está endividada"
203,Flávio Ernesto Zarzur,68,São Paulo,1.8,Eztec,"Flávio é o filho mais velho de Ernesto Zarzur (1934-2021), com quem fundou em 1979 a incorporadora e construtora Eztec. Ele preside o conselho de administração, enquanto seu irmão Silvio (também cofundador) ocupa o cargo de diretor-presidente."
203,João Marcelo Dumoncel,54,Rio Grande do Sul,1.8,3tentos,João é acionista da 3tentos e irmão de Luiz Osório Dumoncel.
203,Luiz Osório Dumoncel,63,Rio Grande do Sul,1.8,3tentos,"Os irmãos João Marcelo e Luiz Osório Dumoncel são os principais acionistas da 3tentos, empresa gaúcha de agronegócio criada em sociedade com o pai, João Osório Dumoncel, um dos pioneiros no plantio de trigo no noroeste do Rio Grande do Sul. Em abril, Luiz Osório deixou o cargo de CEO e assumiu a presidência do conselho. O irmão João Marcelo deixou a presidência do conselho e passou a ser CEO."
209,Carlos Nascimento Pedreira Filho e família,41,Bahia,1.7,Grupo GPS,"Sócio-fundador da GPS, Carlos Nascimento Pedreira Filho e familiares detêm a segunda maior participação acionária da companhia, que abriu capital na B3 em 2021. A exemplo do sócio José Caetano de Lacerda, Carlos Nascimento também foi executivo do grupo Odebrecht."
209,Celso Ricardo de Moraes,81,São Paulo,1.7,Grupo CRM,"Celso tinha participação majoritária no Grupo CRM (das marcas Kopenhagen e Brasil Cacau) até 2020, quando vendeu o controle da empresa à gestora de capital Advent International. Herdeiro do dono do laboratório Virtus, o empresário arrematou a empresa de chocolates em 1996 da família fundadora e a transformou em uma das maiores redes de franquias de guloseimas do país. Celso também foi responsável por trazer a suíça Lindt ao Brasil."
209,Frank Geyer Abubakir,52,Rio de Janeiro,1.7,Unipar,"O empresário carioca Frank Geyer Abubakir é bisneto do empreendedor Alberto Soares de Sampaio, um dos pioneiros da petroquímica brasileira. Sampaio foi um dos fundadores da Petroquímica União e da Unipar, empresa de capital aberto da qual a família é grande acionista. Pioneira na implantação de polos petroquímicos no Brasil e na Argentina, a Unipar é líder na produção de cloro, soda e PVC na América do Sul."
209,José Costa,57,Goiás,1.7,Grupo Costa,"Um dos principais empresas comerciais do Centro-Oeste, o Grupo JC Distribuição, originalmente chamado Jorge Costa  Cerealista e Comércio, foi fundado em 1964 na cidade de Ceres, interior de Goiás, por Jorge Costa. Em 1982, aos 14 anos, José Costa ingressou como ajudante de depósito na empresa. Jorge se afastou das operações diárias em 1988. Em 1994 foi aberta uma loja em Goiânia, e em 1997 a administração foi transferida para a capital goiana. Hoje, a JC Distribuição opera em sete estados como atacado e atacarejo. O faturamento  estimado é da ordem de R$ 6 bilhões."
213,Antônio Augusto de Queiroz Galvão,69,Pernambuco,1.6,Queiroz Galvão,"Uma das mais tradicionais do Nordeste, a família Queiroz investe em petróleo e gás, siderurgia, cimento, concessões e desenvolvimento imobiliário, além de energia eólica. O clã ingressou na lista pela participação na empresa de capital aberto Enauta (antiga Queiroz Galvão Exploração e Produção), que se fundiu à 3R Petroleum no segundo trimestre de 2024 para criar a Brava Energia."
213,Candido Pinheiro Koren de Lima Júnior,54,Ceará,1.6,Hapvida,
213,Flávia Bittar Garcia Faleiros,45,São Paulo,1.6,Magazine Luiza,
213,Franco Bittar Garcia,42,São Paulo,1.6,Magazine Luiza,"Com fatias acionárias ligeiramente diferentes, os irmãos Flávia e Franco são herdeiros das ações do casal Wagner e Maria Trajano  Garcia, participantes da fundação do  Magazine Luiza, por meio da holding  Walter Garcia Participações."
213,Jorge Fontoura Pinheiro Koren de Lima,53,Ceará,1.6,Hapvida,"Jorge e Candido são filhos do médico oncologista Candido Pinheiro, fundador da Hapvida, que estreou na bolsa em abril de 2018. Candido e Jorge são conselheiros, e Jorge é CEO da Hapvida."
213,José Caetano Paula de Lacerda,68,Bahia,1.6,Grupo GPS,"O maior acionista individual do grupo GPS. Fundada em Salvador em 1962, a companhia emprega mais de 150 mil pessoas no país, atendendo prédios de grandes corporações, e é a maior empresa de serviços terceirizados de limpeza, manutenção e segurança do país. A GPS fez seu IPO na B3 em abril de 2021."
213,Pedro Igel de Barros Salles,64,Rio de Janeiro,1.6,Ultrapar,"Pedro e sua família herdaram as ações detidas pelo fundo Parth Investments na Ultrapar. Até 2017, a empresa de investimentos era controlada por Daisy Igel, filha do fundador do grupo, Ernesto Igel, mas ela deixou sua participação acionária aos herdeiros."
213,Sérgio Maeoka,65,Paraná,1.6,Nissei,"Maeoka é dono da Nissei, maior rede de farmácias do Paraná e sétima maior rede nacional, com cerca de 450 lojas em 120 municípios. Além do Paraná, a empresa tem atividades nos estados de São Paulo, Santa Catarina e Goiás e no Distrito Federal."
221,Anderson Lemos Birman,71,Minas Gerais,1.5,Azzas 2154,"Junto com o filho Alexandre, Anderson Birman é sócio-controlador da empresa de calçados Arezzo & Co, maior marca de varejo de calçados femininos de luxo da América Latina, dona das marcas Alexandre Birman, Schutz, Anacapri e Fiever. Anunciou em julho de 2024 uma fusão com a Soma para criar a Azzas 2154."
221,Fabrício Bittar Garcia,42,Minas Gerais,1.5,Magazine Luiza,"Fabrício, o terceiro herdeiro do casal Wagner e Maria Trajano Garcia, trabalha na Magazine Luiza desde 1996 e é o vice-presidente de operações da gigante varejista desde 2020."
221,José Roberto Nogueira,61,Ceará,1.5,Brisanet,"Fundador e CEO do Grupo Brisanet, o autodidata José Roberto fundou a empresa em 1998 na cidade de Pereiro (CE) “com o sonho de transmitir sinal de internet a um custo acessível em pleno sertão”. Ela se tornaria a maior provedora independente de internet e fibra óptica do Brasil, atendendo os estados do Ceará, Rio Grande do Norte, Paraíba, Pernambuco e Alagoas. Ele também é sócio-diretor das empresas Nossa Fruta Brasil e Agritech. Em julho de 2024, a empresa anunciou ter chegado a 1,37 milhão de clientes de banda larga fixa."
221,José Salim Mattar Júnior,73,Minas Gerais,1.5,Localiza,"José Salim é sócio-fundador da Localiza, ao lado do irmão Eugênio e de Antônio e Flávio Resende. Os Mattar são sócios da prestadora de serviços de transporte aéreo Omni Táxi Aéreo."
221,João Annes Guimarães,65,Minas Gerais,1.5,Banco BMG,"Fundado em 1930 por Antônio Mourão Guimarães, o banco mineiro BMG é uma das poucas instituições financeiras regionais que manteve sua independência ao longo dos anos. O BMG foi um dos primeiros a fornecer empréstimos consignados, ainda em 2006."
221,Nilton Carlos Chieppe,81,Espirito Santo,1.5,"Azul, Águia Branca","Vindo da Itália, Domenico Chieppe chegou ao Espírito Santo em 1888. Em 1936, seu neto Carlos percebeu que era mais negócio transportar café do que trabalhar na lavoura para cultivar o grão. As estradas precárias danificavam os caminhões, e a solução foi comprar ônibus e passar a transportar pessoas. Atualmente, o Águia Branca é o maior grupo capixaba, com três empresas de viação e duas de logística, entre outras. Nilton e a família são acionistas da Azul Linhas Aéreas desde que esta incorporou a concorrente Trip, pertencente à família."
221,Patrick Larragoiti,65,França - naturalizado brasileiro,1.5,Sulamérica,"Larragoiti é herdeiro da quinta geração da família que fundou a seguradora SulAmérica. Ele presidiu a companhia entre 1998 e 2010 e foi o responsável pela reestruturação que a levou à abertura de capital, em 2007. No início da década, o grupo passou a se concentrar em saúde e em previdência privada. Em 2020, as operações de seguro de automóveis foram vendidas para a alemã Allianz por R$ 3,18 bilhões. Em 2022, a família vendeu o controle da SulAmérica para a Rede D’Or em troca de 307,7 milhões de ações da companhia, ou 3,8% do capital."
221,Paulo Sérgio Barbanti,85,São Paulo,1.5,Intermédica,"Barbanti fundou a operadora de planos de saúde Intermédica. Após 40 anos no comando, vendeu-a para o private equity Bain Capital por quase R$ 2 bilhões, em 2014. O grupo norteamericano assumiu 100% da operadora, que depois foi vendida para a Hapvida. Barbanti também era controlador da empresa de call center Atento, vendida em 2018."
221,Paulo Sérgio Coutinho Galvão Filho,65,São Paulo,1.5,"Klabin, RaiaDrogasil","Paulo e sua irmã Maria Eugênia receberam fatias das ações antes pertencentes à mãe, Graziela Lafer Galvão, que deixou a lista. Os irmãos já eram acionistas diretos da RaiaDrogasil, com porcentagens ligeiramente diferentes. Com isso, ambos entraram na lista como bilionários individuais, substituindo Graziela. Ele é um dos maiores acionistas da Klabin."
221,Regina de Camargo Pires Oliveira Dias,71,São Paulo,1.5,Motiva,
221,Renata de Camargo Nascimento,74,São Paulo,1.5,Motiva,
221,Rossana Camargo de Arruda Botelho,75,São Paulo,1.5,Motiva,"As irmãs Regina (esposa de Carlos Pires de Oliveira Dias), Renata e Rosana Camargo estão entre as maiores acionistas do grupo Motiva, dedicado à infraestrutura, à construção pesada e à exploração de concessões rodoviárias e aeroportuárias. Até abril de 2025 o grupo chamava-se CCR."
221,Victor Cavalcanti Pardini e família,70,Minas Gerais,1.5,Fleury,"Victor e as irmãs Áurea e Regina Pardini são filhos do mineiro Hermes Pardini (1934-2019), fundador da empresa de medicina diagnóstica de mesmo nome. Em abril de 2023, a família vendeu a Hermes Pardini para o Fleury."
234,Ernesto Mário Haberkorn,82,São Paulo,1.4,Totvs,"O empresário Ernesto Mário Haberkorn detém a segunda maior participação acionária da empresa de tecnologia Totvs. Maior companhia de software do Brasil e sexta maior do mundo, a Totvs foi criada em 2005 depois da fusão da Microsiga (fundada por Haberkorn) com a Logocenter. Depois da abertura de capital na então Bovespa, em 2006, a Totvs incorporou suas principais concorrentes brasileiras. Haberkorn é palestrante e escritor, tendo publicado o primeiro livro brasileiro sobre gestão, em 1968."
234,Estevam Duarte de Assis e família,68,Minas Gerais,1.4,Bretas,"Estevam e sua família eram donos da rede de supermercados Bretas, que chegou a ser a quinta maior do país e a maior com capital 100% nacional. Em 2010, foi vendida ao grupo chileno Cencosud por R$ 1,35 bilhão. Desde então, eles têm investido na expansão da empresa familiar de shoppings SFA Malls. São donos de uma rede de hotéis e de uma construtora."
234,Flávio Augusto da Silva,53,Rio de Janeiro,1.4,Wise UP,"Retornando à lista, Flávio fundou a rede de escolas de inglês Wise Up, que foi vendida para a Abril Educação em 2013 por R$ 877 milhões e recomprada dois anos e meio depois por  R$ 398 milhões. Em 2017, Carlos Wizard Martins aportou R$ 200 milhões na companhia por uma posição minoritária, o mesmo valor aportado pela gestora de recursos Kinea em 2019. Juntos, eles formaram a Wiser Educação, cujo controle continua com Flávio. Em 2021, Flávio vendeu o Orlando City, clube de futebol profissional nos EUA, por R$ 2 bilhões."
234,Flávio Brandão Resende,72,Minas Gerais,1.4,Localiza,"Flávio é sócio-fundador da Localiza, ao lado do irmão Antônio e de Eugênio e José Salim Mattar. Ele também fundou uma construtora, a Terramaris, focada em condomínios de casas populares."
234,Horácio Lafer Piva,68,São Paulo,1.4,Klabin,"Horácio é acionista e conselheiro da Klabin, maior produtora e exportadora de papéis do Brasil. O clã Lafer participa da empresa desde sua fundação, no fim do século 19, fundindose e dividindo o controle acionário com o tronco familiar dos sócios Klabin. Bisneto do cofundador Miguel Lafer (1876-1926), Horácio já foi presidente da Fiesp (Federação das Indústrias do Estado de São Paulo)."
234,João Guilherme Sabino Ometto,85,São Paulo,1.4,São Martinho,
234,Julia Dora Koranyi Arduini,75,São Paulo,1.4,Rumo,"Julia e Riccardo Arduini eram controladores da operadora ferroviária América Latina Logística (ALL), fundada em 1999 e fundida em 2015 à Rumo, da Cosan, formando a Rumo Logística. Hoje, a empresa é a dona da maior malha ferroviária do país. Julia tem um perfil discreto e se mantem longe dos holofotes."
234,Leandro Camargo Ramos,40,São Paulo,1.4,kabum!,"Ao lado do irmão Thiago, Leandro criou o KaBuM! no início do milênio como um site de venda de materiais de informática,
peças e jogos. O pioneirismo garantiu o crescimento do portal, que foi vendido em 2021 para o Magazine Luiza."
234,Luiz Antônio Cera Ometto,90,São Paulo,1.4,São Martinho,"Os primos Luiz Antônio e João Guilherme Ometto são os maiores acionistas do grupo sucroalcooleiro São Martinho, ao lado de um terceiro primo, Nelson Ometto. O trio é primo de outro bilionário, Rubens Ometto, da gigante Cosan. A São Martinho é uma das maiores usinas sucroalcooleiras em operação no Brasil e no mundo. O grupo também produz energia elétrica a partir do bagaço da cana-de-açúcar."
234,Sergio Augusto Guerra de Resende,49,Minas Gerais,1.4,Locamerica,"Sergio e Luis Fernando Memoria Porto (leia mais adiante) eram os maiores acionistas individuais da Locamerica, um dos maiores grupos de aluguel de veículos do Brasil. A companhia foi comprada pela Localiza, que, após a aquisição, entregou 5,38% de suas ações para os acionistas controladores da Locamerica, segundo informações da empresa."
244,Caio Penido Dalla Vecchia e família,52,São Paulo,1.3,Motiva,"Caio e os irmãos Pelerson e Eduarda são filhos de Rosa Evangelina Marcondes Penido Dalla Vecchia (1949-2021) e têm fatias iguais da holding familiar. Rosa e a irmã, Ana Maria, eram filhas de Pelerson Soares Penido (19182012) e herdaram participações acionárias significativas da atual Motiva, antiga CCR."
244,Everardo Ferreira Telles e família,80,Ceará,1.3,Ypióca,"A família Telles era dona da fabricante de aguardente Ypióca, fundada em 1846, até vender a marca e uma de suas fábricas para a inglesa Diageo por R$ 940 milhões, em 2012. Ficaram com duas destilarias e fazendas de cana. Eles controlam o Grupo Telles, que mantém negócios na produção e distribuição de etanol e água mineral, na fabricação de embalagens, no turismo e na pecuária, além de operarem uma usina de energia solar no Ceará."
244,Fernando Galletti de Queiroz e família,57,São Paulo,1.3,Minerva Foods,"Fernando é CEO da Minerva Foods e, junto de sua família, controla a VDQ Holdings, que possui a segunda maior fatia de ações (22,36%) da companhia de alimentos. O maior acionista é o grupo saudi-inglês Salic (30,55%), que também participa do capital da Marfrig/BRF. A família ainda é dona de empresas de transporte, de incorporação e de construção por meio do grupo IZVQ."
244,Geninho Thomé,73,Paraná,1.3,"Neodent, GT COMPANY","O cirurgião-dentista fundou a Neodent em 1993 e conseguiu transformá-la na maior empresa de implantes dentários da América Latina. Em 2015, vendeu-a para o grupo suíço Straumann, por R$ 1,2 bilhão. Tempos depois fundou a empresa de soluções ortopédicas Neoortho, cujo controle foi vendido em abril de 2025 para a empresa suíça Medartis. Thomé ainda é sócio da construtora e incorporadora Pasqualotto & GT, especializada em edifícios de luxo no litoral de Santa Catarina."
244,Luciano Maggi Quartiero e família,50,Rio Grande do Sul,1.3,Camil,"Luciano e seus irmãos Jacques e Thiago receberam ações do pai, Jairo Santos Quartiero, que deixou a composição acionária da Camil Alimentos, maior beneficiadora de arroz e feijão da América Latina. A empresa tem no portfólio marcas famosas, como Açúcar União e Coqueiro. Desde 2018, também é dona da SLC Alimentos. Luciano é o atual CEO."
244,Luis Fernando Memoria Porto,52,Minas Gerais,1.3,Locamerica,"Luis Fernando era um grande acionista da Locamerica, vendida para a Localiza."
244,Maria Eugênia Lafer Galvão,62,São Paulo,1.3,"Klabin, RaiaDrogasil","Maria Eugênia é a outra herdeira de  Graziela Lafer Galvão, acionista da RaiaDrogasil e da Klabin."
